code,name,industry,status,candidate_layer,mainline_status,mainline_base_score,signal_status,market_score,industry_score,fundamental_status,trend_template_type,keypoint_type,keypoint_price,keypoint_distance_pct,volume_quality,close_quality,risk_level,trade_plan_type,suggested_action,watch_price,trigger_price,buy_lower,buy_upper,suggested_buy_price,stop_loss_price,take_profit_1,take_profit_2,trailing_stop_rule,suggested_position,include_reason,exclude_reason,rejected_reason_detail,risk_warning
002156,通富微电,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,A,A,,,-0.0008,,,观察,观察计划,重点观察，等待触发,62.28,62.23,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板A类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,成交量不足,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
300223,北京君正,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,A,A,,,0.071,,,观察,观察计划,重点观察，等待触发,141.9,151.98,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板A类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,未触发关键点,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
300236,上海新阳,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,A,A,,,-0.012,,,观察,观察计划,重点观察，等待触发,105.58,104.31,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板A类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,成交量不足,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
603005,晶方科技,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,A,B,,,-0.0261,,,观察,观察计划,重点观察，等待触发,36.8,35.84,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板B类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,成交量不足,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
603991,至正股份,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,A,A,,,0.0317,,,观察,观察计划,重点观察，等待触发,125.88,129.87,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板A类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,未触发关键点,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
300613,富瀚微,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,A,B,,,0.0191,,,观察,观察计划,重点观察，等待触发,65.4,66.65,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板B类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,未触发关键点,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
300666,江丰电子,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,A,A,,,0.0132,,,观察,观察计划,重点观察，等待触发,213.68,216.49,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板A类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,未触发关键点,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
603290,斯达半导,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,B,A,,,0.0627,,,观察,观察计划,重点观察，等待触发,127.03,135.0,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板A类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,未触发关键点,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
688099,晶晨股份,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,A,A,,,0.0337,,,观察,观察计划,重点观察，等待触发,119.18,123.2,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板A类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,未触发关键点,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
003026,中晶科技,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,A,B,,,0.0675,,,观察,观察计划,重点观察，等待触发,50.64,54.06,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板B类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,未触发关键点,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
